id,movieName,上座率,拍片占比,票房占比,综合票房（万）
1279731,宠爱,5.8%,14.6%,18.3%,1700.82
1190122,叶问4：完结篇,6.4%,11.7%,16.0%,1488.93
1218273,误杀,7.0%,9.4%,13.5%,1255.10
1219754,鲨海逃生,4.8%,16.1%,12.1%,1123.29
1281095,紫罗兰永恒花园 外传：永远与自动手记人偶,5.8%,11.2%,9.5%,884.63
1201272,为家而战,2.6%,18.9%,9.1%,850.76
1214142,变身特工,8.6%,2.5%,3.5%,325.63
1284594,我为你牺牲,75.6%,0.1%,3.1%,292.25
1303,美丽人生,10.3%,1.1%,1.6%,154.37
1298853,致敬英雄,5.5%,0.9%,1.5%,142.22
247949,冰雪奇缘2,8.3%,0.9%,1.0%,100.92
1228869,半个喜剧,8.4%,0.7%,0.9%,87.37
1196202,天使陷落,5.8%,1.1%,0.9%,86.24
1277939,我和我的祖国,90.3%,<0.1%,0.7%,69.90
1218474,狐踪谍影,1.9%,2.7%,0.7%,66.64
443387,星球大战：天行者崛起,3.8%,0.3%,0.6%,59.94
1301459,海林都,100%,<0.1%,0.6%,59.36
1255359,别告诉她,3.3%,1.1%,0.6%,58.62
1261203,解放·终局营救,59.0%,<0.1%,0.5%,48.64
1302100,刑场上的婚礼,67.0%,<0.1%,0.4%,38.12
1212608,站住！小偷,1.6%,1.8%,0.3%,32.24
1225993,雪人奇缘,90.7%,<0.1%,0.3%,32.15
418207,理查德·朱维尔的哀歌,4.3%,0.4%,0.3%,29.17
1227611,小小的愿望,100%,<0.1%,0.2%,24.48
1301296,野猪,2.7%,0.7%,0.2%,22.17
1301695,城市的星空,100%,<0.1%,0.2%,21.90
1297995,只有芸知道,5.0%,0.2%,0.1%,12.71
1211270,哪吒之魔童降世,100%,<0.1%,0.1%,12.15
1291012,为爱重生,100%,<0.1%,0.1%,11.25
1213293,小羊肖恩2：末日农场,4.5%,0.2%,0.1%,11.13
1298827,亲爱的新年好,2.9%,0.3%,0.1%,11.10
1237279,特警队,4.8%,0.2%,0.1%,10.75
1218029,少年的你,100%,<0.1%,0.1%,9.60
1228776,下一任：前任,100%,<0.1%,0.1%,9.49
248172,复仇者联盟4：终局之战,--,<0.1%,<0.1%,7.45
1286126,守望人,--,<0.1%,<0.1%,6.80
1299333,鹭世界,16.2%,<0.1%,<0.1%,6.76
1214809,蕃薯浇米,1.5%,0.2%,<0.1%,6.37
1243361,烈火英雄,100%,<0.1%,<0.1%,6.11
1277527,那时风华,13.3%,<0.1%,<0.1%,6.07
1301498,盲舞,100%,<0.1%,<0.1%,5.24
599133,无影之镜,0.5%,0.7%,<0.1%,4.91
1133527,阳光夏令营,100%,<0.1%,<0.1%,4.52
1250610,乡村青年,100%,<0.1%,<0.1%,4.05
1290390,民警攻略,100%,<0.1%,<0.1%,3.67
1230121,中国机长,100%,<0.1%,<0.1%,3.27
378256,美丽人生,--,<0.1%,<0.1%,3.26
1250700,攀登者,--,<0.1%,<0.1%,2.71
1301580,铁血阳泉,33.9%,<0.1%,<0.1%,2.70
248906,流浪地球,--,<0.1%,<0.1%,2.66
248803,我和我的小伙伴们,83.5%,<0.1%,<0.1%,2.55
1213197,很有态度,65.5%,<0.1%,<0.1%,2.50
1238837,天·火,8.8%,<0.1%,<0.1%,2.23
1203825,唐顿庄园,10.6%,<0.1%,<0.1%,2.02
1215114,廉政风云,36.8%,<0.1%,<0.1%,2.00
336934,横财局中局,19.5%,<0.1%,<0.1%,1.90
1301605,生根,44.0%,<0.1%,<0.1%,1.87
1197417,使徒行者2：谍影行动,100%,<0.1%,<0.1%,1.79
1243239,熊出没·原始时代,100%,<0.1%,<0.1%,1.66
1258163,利刃出鞘,9.6%,<0.1%,<0.1%,1.59
346409,尼斯大冒险,2.9%,<0.1%,<0.1%,1.52
1280015,武圣关公,59.3%,<0.1%,<0.1%,1.47
1301018,变化中的中国·生活因你而火热,35.0%,<0.1%,<0.1%,1.45
1203046,坂本龙一：终曲,5.1%,<0.1%,<0.1%,1.27
